country_code,country_name,year,indicator_code,indicator_name,value
KEN,Kenya,2014,SP.POP.TOTL,Population,46051440.0
KEN,Kenya,2013,SP.POP.TOTL,Population,44986791.0
KEN,Kenya,2012,SP.POP.TOTL,Population,43888303.0
KEN,Kenya,2011,SP.POP.TOTL,Population,42758461.0
KEN,Kenya,2010,SP.POP.TOTL,Population,41598567.0
KEN,Kenya,2009,SP.POP.TOTL,Population,40408891.0
KEN,Kenya,2008,SP.POP.TOTL,Population,39206351.0
KEN,Kenya,2007,SP.POP.TOTL,Population,38036349.0
KEN,Kenya,2006,SP.POP.TOTL,Population,36904008.0
KEN,Kenya,2005,SP.POP.TOTL,Population,35796484.0
KEN,Kenya,2004,SP.POP.TOTL,Population,34713455.0
KEN,Kenya,2003,SP.POP.TOTL,Population,33652223.0
KEN,Kenya,2002,SP.POP.TOTL,Population,32629808.0
KEN,Kenya,2001,SP.POP.TOTL,Population,31619170.0
KEN,Kenya,2000,SP.POP.TOTL,Population,30642890.0
KEN,Kenya,2022,FP.CPI.TOTL.ZG,Inflation,7.65986268272224
KEN,Kenya,2021,FP.CPI.TOTL.ZG,Inflation,6.10793603659176
KEN,Kenya,2020,FP.CPI.TOTL.ZG,Inflation,5.40516207933392
KEN,Kenya,2019,FP.CPI.TOTL.ZG,Inflation,5.23963795764792
KEN,Kenya,2018,FP.CPI.TOTL.ZG,Inflation,4.6898064677633
KEN,Kenya,2017,FP.CPI.TOTL.ZG,Inflation,8.00564967709945
KEN,Kenya,2016,FP.CPI.TOTL.ZG,Inflation,6.29724953814625
KEN,Kenya,2015,FP.CPI.TOTL.ZG,Inflation,6.58215429284779
KEN,Kenya,2014,FP.CPI.TOTL.ZG,Inflation,6.87815499275949
KEN,Kenya,2013,FP.CPI.TOTL.ZG,Inflation,5.71749357037733
KEN,Kenya,2012,FP.CPI.TOTL.ZG,Inflation,9.37777003547598
KEN,Kenya,2011,FP.CPI.TOTL.ZG,Inflation,14.0224913014704
KEN,Kenya,2010,FP.CPI.TOTL.ZG,Inflation,3.96138889115385
KEN,Kenya,2009,FP.CPI.TOTL.ZG,Inflation,9.23412592394652
KEN,Kenya,2008,FP.CPI.TOTL.ZG,Inflation,26.2398166445063
KEN,Kenya,2007,FP.CPI.TOTL.ZG,Inflation,9.75888023027529
KEN,Kenya,2006,FP.CPI.TOTL.ZG,Inflation,14.4537342081708
KEN,Kenya,2005,FP.CPI.TOTL.ZG,Inflation,10.3127783574683
KEN,Kenya,2004,FP.CPI.TOTL.ZG,Inflation,11.6240355442426
KEN,Kenya,2003,FP.CPI.TOTL.ZG,Inflation,9.81569062979654
KEN,Kenya,2002,FP.CPI.TOTL.ZG,Inflation,1.96130821739162
KEN,Kenya,2001,FP.CPI.TOTL.ZG,Inflation,5.73859814341467
KEN,Kenya,2000,FP.CPI.TOTL.ZG,Inflation,9.98002515350979
RWA,Rwanda,2022,NY.GDP.MKTP.CD,GDP,13747404814.2677
RWA,Rwanda,2021,NY.GDP.MKTP.CD,GDP,11252894909.5043
RWA,Rwanda,2020,NY.GDP.MKTP.CD,GDP,10487146253.4025
RWA,Rwanda,2019,NY.GDP.MKTP.CD,GDP,10519272170.3346
RWA,Rwanda,2018,NY.GDP.MKTP.CD,GDP,9650161136.17648
RWA,Rwanda,2017,NY.GDP.MKTP.CD,GDP,9164345443.2575
RWA,Rwanda,2016,NY.GDP.MKTP.CD,GDP,8596812240.52305
RWA,Rwanda,2015,NY.GDP.MKTP.CD,GDP,8447064078.84373
RWA,Rwanda,2014,NY.GDP.MKTP.CD,GDP,8129984483.78727
RWA,Rwanda,2013,NY.GDP.MKTP.CD,GDP,7714276919.73722
RWA,Rwanda,2012,NY.GDP.MKTP.CD,GDP,7556673275.95438
RWA,Rwanda,2011,NY.GDP.MKTP.CD,GDP,6802676033.65947
RWA,Rwanda,2010,NY.GDP.MKTP.CD,GDP,6052276077.6354
RWA,Rwanda,2009,NY.GDP.MKTP.CD,GDP,5603399014.71331
RWA,Rwanda,2008,NY.GDP.MKTP.CD,GDP,5120655375.24365
RWA,Rwanda,2007,NY.GDP.MKTP.CD,GDP,4017977506.55904
RWA,Rwanda,2006,NY.GDP.MKTP.CD,GDP,3274207945.36553
RWA,Rwanda,2005,NY.GDP.MKTP.CD,GDP,2933819766.17656
RWA,Rwanda,2004,NY.GDP.MKTP.CD,GDP,2376496067.01198
RWA,Rwanda,2003,NY.GDP.MKTP.CD,GDP,2138237278.73822
RWA,Rwanda,2002,NY.GDP.MKTP.CD,GDP,1966003468.49117
RWA,Rwanda,2001,NY.GDP.MKTP.CD,GDP,1966600715.49841
RWA,Rwanda,2000,NY.GDP.MKTP.CD,GDP,2068836754.37431
RWA,Rwanda,2022,SP.POP.TOTL,Population,13651030.0
RWA,Rwanda,2021,SP.POP.TOTL,Population,13355260.0
RWA,Rwanda,2020,SP.POP.TOTL,Population,13065837.0
RWA,Rwanda,2019,SP.POP.TOTL,Population,12776103.0
RWA,Rwanda,2018,SP.POP.TOTL,Population,12487996.0
RWA,Rwanda,2017,SP.POP.TOTL,Population,12202060.0
RWA,Rwanda,2016,SP.POP.TOTL,Population,11919183.0
RWA,Rwanda,2015,SP.POP.TOTL,Population,11640022.0
RWA,Rwanda,2014,SP.POP.TOTL,Population,11364757.0
RWA,Rwanda,2013,SP.POP.TOTL,Population,11093340.0
RWA,Rwanda,2012,SP.POP.TOTL,Population,10829901.0
RWA,Rwanda,2011,SP.POP.TOTL,Population,10573733.0
RWA,Rwanda,2010,SP.POP.TOTL,Population,10317553.0
RWA,Rwanda,2009,SP.POP.TOTL,Population,10060432.0
RWA,Rwanda,2008,SP.POP.TOTL,Population,9804269.0
RWA,Rwanda,2007,SP.POP.TOTL,Population,9549933.0
RWA,Rwanda,2006,SP.POP.TOTL,Population,9299246.0
RWA,Rwanda,2005,SP.POP.TOTL,Population,9054528.0
RWA,Rwanda,2004,SP.POP.TOTL,Population,8816844.0
RWA,Rwanda,2003,SP.POP.TOTL,Population,8586875.0
RWA,Rwanda,2002,SP.POP.TOTL,Population,8400180.0
RWA,Rwanda,2001,SP.POP.TOTL,Population,8287094.0
RWA,Rwanda,2000,SP.POP.TOTL,Population,8213931.0
RWA,Rwanda,2022,FP.CPI.TOTL.ZG,Inflation,17.6892095588153
RWA,Rwanda,2021,FP.CPI.TOTL.ZG,Inflation,-0.391346748300791
RWA,Rwanda,2020,FP.CPI.TOTL.ZG,Inflation,9.85039902274207
RWA,Rwanda,2019,FP.CPI.TOTL.ZG,Inflation,3.34787655037648
RWA,Rwanda,2018,FP.CPI.TOTL.ZG,Inflation,-0.311210160390699
RWA,Rwanda,2017,FP.CPI.TOTL.ZG,Inflation,8.27953672260832
RWA,Rwanda,2016,FP.CPI.TOTL.ZG,Inflation,7.17434301982009
RWA,Rwanda,2015,FP.CPI.TOTL.ZG,Inflation,2.52850284192421
RWA,Rwanda,2014,FP.CPI.TOTL.ZG,Inflation,2.35449052820358
RWA,Rwanda,2013,FP.CPI.TOTL.ZG,Inflation,5.92426867984854
RWA,Rwanda,2012,FP.CPI.TOTL.ZG,Inflation,10.2710182318876
RWA,Rwanda,2011,FP.CPI.TOTL.ZG,Inflation,3.0801706924026
RWA,Rwanda,2010,FP.CPI.TOTL.ZG,Inflation,-0.246128693436934
RWA,Rwanda,2009,FP.CPI.TOTL.ZG,Inflation,12.9443978401712
RWA,Rwanda,2008,FP.CPI.TOTL.ZG,Inflation,15.4382138709255
RWA,Rwanda,2007,FP.CPI.TOTL.ZG,Inflation,9.08072205873158
RWA,Rwanda,2006,FP.CPI.TOTL.ZG,Inflation,8.88282654777923
RWA,Rwanda,2005,FP.CPI.TOTL.ZG,Inflation,9.01408918092339
RWA,Rwanda,2004,FP.CPI.TOTL.ZG,Inflation,12.2507102894391
RWA,Rwanda,2003,FP.CPI.TOTL.ZG,Inflation,7.44970014007366
RWA,Rwanda,2002,FP.CPI.TOTL.ZG,Inflation,1.99258542453993
RWA,Rwanda,2001,FP.CPI.TOTL.ZG,Inflation,3.34285506749409
RWA,Rwanda,2000,FP.CPI.TOTL.ZG,Inflation,3.89952980284712
TZA,Tanzania,2022,NY.GDP.MKTP.CD,GDP,75749121846.9703
TZA,Tanzania,2021,NY.GDP.MKTP.CD,GDP,70655628147.8986
TZA,Tanzania,2020,NY.GDP.MKTP.CD,GDP,66068737786.0639
TZA,Tanzania,2019,NY.GDP.MKTP.CD,GDP,61026731925.9213
TZA,Tanzania,2018,NY.GDP.MKTP.CD,GDP,57003712892.0858
TZA,Tanzania,2017,NY.GDP.MKTP.CD,GDP,53274884532.7886
TZA,Tanzania,2016,NY.GDP.MKTP.CD,GDP,49774409374.4538
TZA,Tanzania,2015,NY.GDP.MKTP.CD,GDP,47413919817.124
TZA,Tanzania,2014,NY.GDP.MKTP.CD,GDP,49986726460.6805
TZA,Tanzania,2013,NY.GDP.MKTP.CD,GDP,45648857242.315
TZA,Tanzania,2012,NY.GDP.MKTP.CD,GDP,39650394362.9287
TZA,Tanzania,2011,NY.GDP.MKTP.CD,GDP,34657140096.4836
TZA,Tanzania,2010,NY.GDP.MKTP.CD,GDP,32012892919.37
TZA,Tanzania,2009,NY.GDP.MKTP.CD,GDP,29400573553.6075
TZA,Tanzania,2008,NY.GDP.MKTP.CD,GDP,27947821397.9272
TZA,Tanzania,2007,NY.GDP.MKTP.CD,GDP,21860434823.4808
TZA,Tanzania,2006,NY.GDP.MKTP.CD,GDP,18619859795.2852
TZA,Tanzania,2005,NY.GDP.MKTP.CD,GDP,18395383647.4975
TZA,Tanzania,2004,NY.GDP.MKTP.CD,GDP,16673062473.3981
TZA,Tanzania,2003,NY.GDP.MKTP.CD,GDP,15211487708.7684
TZA,Tanzania,2002,NY.GDP.MKTP.CD,GDP,14129651895.6911
TZA,Tanzania,2001,NY.GDP.MKTP.CD,GDP,13563990022.3641
TZA,Tanzania,2000,NY.GDP.MKTP.CD,GDP,13371767081.7428
TZA,Tanzania,2022,SP.POP.TOTL,Population,64711821.0
TZA,Tanzania,2021,SP.POP.TOTL,Population,62830412.0
TZA,Tanzania,2020,SP.POP.TOTL,Population,60972798.0
TZA,Tanzania,2019,SP.POP.TOTL,Population,59174891.0
TZA,Tanzania,2018,SP.POP.TOTL,Population,57437145.0
TZA,Tanzania,2017,SP.POP.TOTL,Population,55652890.0
TZA,Tanzania,2016,SP.POP.TOTL,Population,53824013.0
TZA,Tanzania,2015,SP.POP.TOTL,Population,52020962.0
TZA,Tanzania,2014,SP.POP.TOTL,Population,50351512.0
TZA,Tanzania,2013,SP.POP.TOTL,Population,48824128.0
TZA,Tanzania,2012,SP.POP.TOTL,Population,47374260.0
TZA,Tanzania,2011,SP.POP.TOTL,Population,46029367.0
TZA,Tanzania,2010,SP.POP.TOTL,Population,44758488.0
TZA,Tanzania,2009,SP.POP.TOTL,Population,43633982.0
TZA,Tanzania,2008,SP.POP.TOTL,Population,42570728.0
TZA,Tanzania,2007,SP.POP.TOTL,Population,41435512.0
TZA,Tanzania,2006,SP.POP.TOTL,Population,40294902.0
TZA,Tanzania,2005,SP.POP.TOTL,Population,39182076.0
TZA,Tanzania,2004,SP.POP.TOTL,Population,38109668.0
TZA,Tanzania,2003,SP.POP.TOTL,Population,37089555.0
TZA,Tanzania,2002,SP.POP.TOTL,Population,36121304.0
TZA,Tanzania,2001,SP.POP.TOTL,Population,35198299.0
TZA,Tanzania,2000,SP.POP.TOTL,Population,34260139.0
TZA,Tanzania,2022,FP.CPI.TOTL.ZG,Inflation,4.35027204269101
TZA,Tanzania,2021,FP.CPI.TOTL.ZG,Inflation,3.69091958802199
TZA,Tanzania,2020,FP.CPI.TOTL.ZG,Inflation,3.29029062798325
TZA,Tanzania,2019,FP.CPI.TOTL.ZG,Inflation,3.46428057999021
TZA,Tanzania,2018,FP.CPI.TOTL.ZG,Inflation,3.49445848856181
TZA,Tanzania,2017,FP.CPI.TOTL.ZG,Inflation,5.31871605228931
TZA,Tanzania,2016,FP.CPI.TOTL.ZG,Inflation,5.17476629301493
TZA,Tanzania,2015,FP.CPI.TOTL.ZG,Inflation,5.58816952959298
TZA,Tanzania,2014,FP.CPI.TOTL.ZG,Inflation,6.13161432988012
TZA,Tanzania,2013,FP.CPI.TOTL.ZG,Inflation,7.87072364573959
TZA,Tanzania,2012,FP.CPI.TOTL.ZG,Inflation,16.0010938506338
TZA,Tanzania,2011,FP.CPI.TOTL.ZG,Inflation,12.6909694699162
TZA,Tanzania,2010,FP.CPI.TOTL.ZG,Inflation,6.20015595647403
TZA,Tanzania,2009,FP.CPI.TOTL.ZG,Inflation,12.1422278742988
TZA,Tanzania,2008,FP.CPI.TOTL.ZG,Inflation,10.2783937621135
TZA,Tanzania,2007,FP.CPI.TOTL.ZG,Inflation,7.02551436974771
TZA,Tanzania,2006,FP.CPI.TOTL.ZG,Inflation,7.25097262082546
TZA,Tanzania,2005,FP.CPI.TOTL.ZG,Inflation,5.03457009267163
TZA,Tanzania,2004,FP.CPI.TOTL.ZG,Inflation,4.73580143949058
TZA,Tanzania,2003,FP.CPI.TOTL.ZG,Inflation,5.30356621509782
TZA,Tanzania,2002,FP.CPI.TOTL.ZG,Inflation,5.31783366118203
TZA,Tanzania,2001,FP.CPI.TOTL.ZG,Inflation,5.14746800222618
TZA,Tanzania,2000,FP.CPI.TOTL.ZG,Inflation,5.92396109637479
